user_id,image_id,rating,valence,arousal,dominance,happiness,sadness,anger,fear,surprise,disgust,neutral
1,1754,1,3,1,2,0,0,0,0,0,0,5
1,1785,1,2,2,3,0,2,0,0,0,0,0
1,123,0,1,3,1,0,4,0,0,0,0,0
1,2315,0,2,1,3,0,2,0,0,0,0,0
1,1548,0,3,1,3,0,0,0,0,0,0,5
1,1055,1,4,3,4,3,0,0,0,0,0,0
1,1738,1,4,4,4,3,0,0,0,0,0,0
1,2922,1,3,2,4,0,0,0,0,0,0,3
1,318,0,2,2,2,0,2,0,0,0,0,0
1,948,0,3,2,2,0,0,0,0,0,0,3
1,986,0,2,4,4,0,0,3,0,0,0,0
1,1142,1,3,1,3,1,0,0,0,0,0,0
1,889,0,2,3,2,0,2,0,0,0,0,0
1,1059,1,5,3,3,4,0,0,0,0,0,0
1,1507,1,4,2,3,3,0,0,0,0,0,0
2,1778,1,3,2,1,0,1,0,0,0,0,3
2,379,0,1,3,2,0,4,3,4,0,0,0
2,342,0,1,2,3,0,5,4,0,0,5,0
2,1898,0,3,1,1,0,4,0,0,0,0,5
2,2121,1,5,1,2,4,0,0,0,0,0,0
2,2370,1,3,1,1,1,0,0,0,0,0,3
2,25,0,2,2,2,0,3,0,0,0,0,0
2,991,0,3,1,1,0,0,0,0,0,0,5
2,667,1,5,2,1,4,0,0,0,0,0,0
2,2234,0,3,1,1,0,0,0,0,0,0,3
2,544,1,4,1,1,2,0,0,0,0,0,5
2,1621,1,3,1,1,2,0,0,0,0,0,0
2,40,1,4,1,1,3,0,0,0,0,0,0
2,1872,1,3,1,1,0,2,0,0,0,0,0
2,2211,1,3,1,1,0,0,0,0,0,0,5
3,316,0,3,1,4,0,0,0,0,0,0,4
3,1569,1,4,3,3,2,0,0,0,0,1,4
3,748,1,5,3,2,3,0,0,0,0,0,2
3,2482,0,3,1,2,0,0,0,0,1,2,3
3,2144,1,4,2,3,3,0,0,0,2,0,0
3,1927,0,2,1,3,0,3,0,2,0,3,0
3,2184,1,4,3,3,4,0,0,0,0,0,0
3,235,0,1,2,4,0,0,0,5,3,4,0
3,1747,1,2,1,1,0,4,0,0,0,0,0
3,1407,1,4,2,1,2,0,0,0,0,0,4
3,2669,0,2,1,3,0,0,0,0,0,3,3
3,655,1,5,1,2,5,0,0,0,0,0,3
3,675,1,3,2,2,0,0,0,0,0,0,4
3,1295,1,4,3,3,4,0,0,0,2,0,0
3,169,0,1,3,4,0,3,0,5,5,4,0
4,2661,1,3,1,3,0,1,0,0,0,0,0
4,1250,0,1,3,2,0,0,0,4,0,0,0
4,1082,1,5,2,5,0,0,0,0,0,0,4
4,1710,1,5,3,5,3,0,0,0,0,0,0
4,2053,1,5,3,4,4,0,0,0,0,0,0
4,766,1,3,2,3,0,0,0,0,0,0,3
4,2901,1,4,3,4,2,0,0,0,3,0,0
4,2933,1,5,3,4,5,0,0,1,4,0,0
4,494,1,4,1,4,2,0,0,0,0,0,4
4,1665,1,5,2,4,2,0,0,0,0,0,4
4,2323,1,4,1,5,0,0,0,0,0,0,4
4,2073,1,5,3,5,0,0,0,0,3,0,0
4,1816,1,4,2,4,0,0,0,0,0,0,3
4,2395,1,5,3,5,2,0,0,0,3,0,0
4,1358,1,4,3,5,4,0,0,0,2,0,0
5,1717,1,4,2,3,0,0,0,0,0,0,3
5,2717,1,3,3,3,3,0,0,0,0,0,0
5,749,1,3,3,3,0,3,0,0,0,0,0
5,99,1,5,5,5,5,0,0,0,0,0,0
5,158,1,4,4,4,0,0,0,0,0,0,4
5,2642,1,3,3,3,0,0,0,0,3,0,0
5,1251,1,4,4,4,4,0,0,0,0,0,0
5,1725,1,4,4,4,0,0,0,0,4,0,0
5,2734,1,4,4,4,0,0,0,0,4,0,0
5,1686,1,3,3,3,0,0,0,0,0,0,3
5,193,1,4,4,4,0,0,0,3,0,0,0
5,2347,1,3,3,3,0,0,0,0,0,0,3
5,2067,1,3,3,3,0,0,0,0,3,0,0
5,498,1,3,3,3,0,0,0,0,3,0,0
5,2897,1,3,3,3,0,0,0,0,0,0,3
6,1730,1,5,2,5,3,0,0,0,0,0,0
6,1308,1,4,2,5,3,0,0,0,0,0,0
6,3054,1,4,3,4,0,3,0,0,0,0,0
6,1442,1,4,4,5,2,0,0,0,4,0,0
6,546,1,4,2,4,0,0,0,0,0,0,3
6,1251,1,4,2,4,3,0,0,0,0,0,0
6,698,1,3,2,3,0,0,0,3,0,0,0
6,2143,1,3,2,3,0,0,0,0,0,0,3
6,681,1,3,2,3,0,0,0,0,3,0,0
6,2940,1,3,2,3,4,0,0,0,3,0,0
6,1513,1,3,2,3,3,0,0,0,0,0,0
6,2581,1,3,2,3,4,0,0,0,0,0,0
6,2416,1,4,2,4,0,3,0,0,0,0,0
6,1287,1,3,2,3,4,0,0,0,0,0,0
6,1627,1,3,2,3,0,0,0,0,0,0,3
7,2358,1,3,3,3,0,0,0,0,0,0,5
7,1461,1,3,3,3,5,0,0,0,0,0,0
7,2789,1,3,3,3,0,0,0,0,0,0,1
7,611,1,3,3,3,5,0,0,0,0,0,0
7,2877,0,1,1,1,0,0,0,0,0,5,0
7,429,1,3,3,3,5,0,0,0,0,0,0
7,2046,0,1,1,1,0,5,0,0,0,0,0
7,2691,0,1,1,1,0,5,0,0,0,0,0
7,461,1,5,5,5,5,0,0,0,0,0,0
7,2095,1,4,4,4,5,0,0,0,0,0,0
7,1104,1,5,5,5,5,0,0,0,0,0,0
7,2098,1,3,3,3,0,0,0,5,0,0,0
7,1771,0,1,1,1,0,5,0,0,0,0,0
7,2195,1,5,5,5,5,0,0,0,0,0,0
7,1751,0,3,3,3,0,5,0,0,0,0,0
8,1763,0,2,1,1,0,4,0,0,0,0,0
8,2839,1,3,1,2,0,0,0,0,0,0,4
8,426,1,3,2,2,3,0,0,0,0,0,0
8,750,0,2,1,1,0,0,0,4,0,0,0
8,2024,0,1,1,1,0,4,0,0,0,0,0
8,1237,1,2,2,2,3,0,0,0,0,0,0
8,2313,1,3,3,2,0,0,0,0,4,0,0
8,1925,0,3,1,1,0,0,5,0,0,0,0
8,2516,0,3,1,1,0,4,0,0,0,0,0
8,354,0,1,1,1,0,0,5,0,0,0,0
8,835,0,1,1,1,0,5,0,0,0,0,0
8,2560,0,2,2,2,0,0,0,0,0,0,3
8,38,1,5,4,4,4,0,0,0,0,0,0
8,1078,1,5,3,3,4,0,0,0,0,0,0
8,2003,0,1,1,1,0,4,0,0,0,0,0
9,1247,1,5,4,4,4,0,0,0,0,0,0
9,1415,1,5,4,4,4,0,0,0,0,0,0
9,2780,0,3,1,2,0,0,0,0,0,0,3
9,1300,1,5,4,4,4,0,0,0,0,0,0
9,2193,0,1,1,2,0,3,0,0,0,0,0
9,2677,0,1,1,2,0,4,0,0,0,0,0
9,1839,1,4,3,4,3,0,0,0,0,0,0
9,1543,1,3,2,2,0,0,0,0,0,0,3
9,2387,1,3,1,2,0,0,0,0,3,0,0
9,1984,1,1,1,3,0,5,0,0,0,0,0
9,1657,1,3,3,5,0,0,0,0,4,0,0
9,3018,1,3,1,2,0,0,0,0,0,0,3
9,2668,1,2,2,2,0,4,0,0,0,0,0
9,1712,1,3,4,5,4,0,0,0,0,0,0
9,484,1,5,4,4,4,0,0,0,0,0,0
10,380,0,5,1,3,0,0,0,0,0,5,0
10,155,0,3,1,3,0,4,0,0,0,0,0
