image_id,visual_pca_00,visual_pca_01,visual_pca_02,visual_pca_03,visual_pca_04,visual_pca_05,visual_pca_06,visual_pca_07,visual_pca_08,visual_pca_09,visual_pca_10,visual_pca_11,visual_pca_12,visual_pca_13,visual_pca_14,visual_pca_15,visual_pca_16,visual_pca_17,visual_pca_18,visual_pca_19,visual_pca_20,visual_pca_21,visual_pca_22,visual_pca_23,visual_pca_24,visual_pca_25,visual_pca_26,visual_pca_27,visual_pca_28,visual_pca_29,visual_pca_30,visual_pca_31,visual_pca_32,visual_pca_33,visual_pca_34,visual_pca_35,visual_pca_36,visual_pca_37,visual_pca_38,visual_pca_39,visual_pca_40,visual_pca_41,visual_pca_42,visual_pca_43,visual_pca_44,visual_pca_45,visual_pca_46,visual_pca_47,visual_pca_48,visual_pca_49,visual_pca_50,visual_pca_51,visual_pca_52,visual_pca_53,visual_pca_54,visual_pca_55,visual_pca_56,visual_pca_57,visual_pca_58,visual_pca_59,visual_pca_60,visual_pca_61,visual_pca_62,visual_pca_63
1,-2.4359675228608637,-2.2292881744368067,-2.3487905121014387,0.8866498488333565,-0.21961730365092358,-1.334070528259635,0.13357089706329722,0.012264258281351331,-0.3533661382584704,-1.076925589806113,-0.6622156725227266,-0.10575788760243876,0.2338136054608784,-0.09918954423266446,-0.4172400996516713,-0.05940708170943684,0.6463736470155825,-0.9056833020184368,-0.7855607313013473,-0.35993350128647816,-0.5801875378384398,0.88952596646797,0.051834273446122264,0.014074412413969561,0.5764775267643446,0.5856956001334024,0.5605716559818047,-0.05425909756021835,0.6166096289212776,0.5236574091626436,0.10914182727790253,0.06707471884985045,-1.2215492967176307,0.23814251423813015,0.10207051311340515,0.7139206335928054,-1.3389242760732796,-0.8793546560029841,0.8324906075772507,-0.8084211115844857,0.01767506782573855,-0.8334688879531337,-0.14794315646138184,0.09035161546065673,0.7996932433401468,0.4655956537675139,0.5301133745136143,0.12684023763041627,-0.2626807591842658,0.32109734530632394,0.2397277242095584,0.10080900883476379,-0.5016420800598903,-0.8774198829907908,-0.5023401727181526,0.6121897185427656,0.27791966893250164,-0.3578610179252655,-0.06734263739736046,0.2635333562221623,-0.10869393614358039,-0.2649318768806277,-0.1218938064670559,0.17658527702954474
2,-2.4590807273884048,-2.2356772770590623,-2.1988661033840624,0.06510058564484345,0.19430936802164162,-1.3805541055051298,0.3980267514510954,-0.02167786433470327,0.02826234591358595,-1.3135962636883438,-0.5010814814113215,0.07070385528916179,-0.0824365263189277,-0.11304863515405317,-0.12587790223418427,0.14807440422769882,0.22598193658678306,-0.2025583537068055,-0.5838516971836724,-0.12916037557394272,-0.6448298975390712,0.3172263874389677,0.06372502138111731,0.25712150638973785,0.5050507324822714,0.533006566230233,0.1667619156137931,-0.4773020068644247,0.152386505381788,0.15390062357715253,0.17930354374687058,0.015834605301849436,-0.5732091445546363,0.012203572742084771,0.13137148409335203,0.5129528823970146,-0.7205211002977564,-0.5668430739436261,0.3248884384957028,-0.04762636248296795,0.1586869402326435,-0.2684242614489039,-0.009873687284867858,-0.24901534698736422,0.3166205504143734,0.5156707653979007,0.5515676926539054,-0.12038225076609504,0.07472630945549441,0.0943673589541677,-0.12222732849342886,-0.1429794070559174,-0.43803114927005005,-0.4963934155635744,0.10353435981844324,0.4681126784138084,0.49105858922433604,-0.3400754362188586,0.4623832922123724,0.09264914625429055,-0.06672902898430898,-0.38281514995216426,0.0811574379177224,0.16926119040930365
3,-2.444316047940269,-2.2988328610765207,-2.123637333924871,0.2836950230792392,0.09591812650817633,-1.2266720402691482,0.44601350537141476,-0.6678430489446423,-0.3024498278113643,-1.1908089126547377,0.16566039309861336,0.3153570217250042,-0.18735864304235694,-0.3235432301673179,-0.3750555683708448,0.7726158628957888,0.059126158491453196,0.010064708880153652,-0.6667479655111305,-0.14553051870113798,-0.08047611732417903,0.7008031412884783,-0.12421257959119864,0.19825231630700632,0.7083000472108072,0.1255652711950016,0.11081612050051523,-0.4620224864931394,0.4435578926449547,0.42185968579743865,-0.06678587755885132,0.4175817771945372,-0.87927058964834,0.2086562502368254,0.4741450337502024,0.3340245636488054,-0.7032332821245099,-0.4765733124272302,0.4215088230728663,-0.32541336463144743,0.16865447033715242,-1.0354582458193144,0.21081616715746476,0.265729407056997,0.21511559478241468,-0.27950142151886725,0.18287993426346116,0.27569049213297353,0.045507495616761776,0.25231786689636226,-0.5655686738723811,-0.33174746840110186,-0.13236490683132507,-0.48251059285192277,0.23159999945268367,0.8041989554549215,0.224740656097719,-0.04036838667701656,0.14437710507244972,-0.23782985934131118,-0.4080891125177821,-0.799285695999984,-0.146955134475929,-0.09378525045463287
4,-1.9357818663890638,-2.0093478364115187,-2.2044444190578902,1.3955873552960236,-0.6168787616103635,-0.7881963811423355,0.4611504328046051,-0.06711919143400619,-0.6378645436752067,-0.40659983234748065,-0.7980976217652889,-0.5536179340548484,-0.37384473795293954,0.2668484406054542,-0.6119853236414969,0.07449386104643221,0.8502652089335674,-1.1827145484377977,-0.3204190201408208,-0.48131483343057024,-0.5916821757602893,0.9807049404146084,-0.06769589299909212,-0.06555203245368413,0.6851892806800961,0.301878776282861,0.4832056658258408,-0.27751694842352537,0.8813770245417646,0.7045219011016066,-0.19567894213695883,0.021059792473233918,-1.281367565571487,-0.12027787886621691,0.39178779417026416,0.7810690772083992,-1.1086915048074686,-0.8380808934726175,0.6174723457359024,-0.9506380054798358,0.07531501499968313,-1.1665200770651771,-0.12955569824196672,0.3688464726826724,1.099855901327769,0.023062513324610207,0.40807602499225576,0.08608755108527169,0.15894952613081037,0.23884348760505225,0.12816017516241118,0.4111243508034676,-0.35248004905048125,-0.9971023546322711,-0.5656196750908308,0.8144100833585765,0.20070873854888027,0.0477005882974358,-0.008399872613078396,0.15753201763647448,0.09994387878405135,-0.7209668577629602,0.25347043346277004,0.32789895697276517
5,-2.127559406282107,-2.448250406998873,-2.3893820003117106,0.6462993520916758,-0.0027953958053818506,-1.087544336025446,0.3554563186086943,-0.2132851974304223,-0.08228267508418952,-1.2285722844735392,-0.7247960525171513,0.028130990871039374,-0.14072991864634474,-0.14987249605975445,0.264718979065262,0.21080512877632343,0.07081707422097239,-0.6817934736535256,-0.381520814926696,-0.17660001680631432,-0.5121465033636352,0.4549995115988651,0.23131579586251166,0.2805380259254553,0.47687387037846013,0.6198134252063763,0.0526322135889318,-0.08286107726600643,0.31269169500866656,0.38215958410089296,-0.024159225426251735,-0.07749538401981182,-0.75539545045728,0.014560459330934031,0.12937447025852072,0.1427039410203075,-0.36604344087305235,-0.4487246287622973,0.6612575203996955,-0.49034224680869387,0.16724147658824462,-0.5944186556395394,0.14262369856267568,0.3140496813851625,0.8813460184539356,0.1443054188560157,0.3853414682024484,0.2501048874304898,-0.005688687163745321,0.22342513383212725,0.2180770098404673,-0.09033417096788643,0.01861791830287929,-0.49489210208737755,-0.4441472000250055,0.6487656950476064,0.28045475931025415,-0.14979043997969177,0.4039393356943486,0.2587688808456637,-0.29180865488789814,-0.6396135178159466,0.16636902905379708,0.3828701524005449
6,-2.2512156631831535,-2.6879365342667754,-2.3873877726255905,1.6894515068118072,-0.7520674769075624,-1.0232004548216915,0.2865889056057811,-0.029122407117634613,-0.9555937466698464,-0.1765622359270893,-0.4090064358816393,-0.2826092368492271,0.39220302166752313,0.3248428539957491,-0.44414474871250476,0.0353627858599528,1.3431547889414577,-1.7161827078537328,-1.040504633904587,-0.7295042023927939,-0.9785863281451904,0.46593721716648906,0.31580227627388896,0.19506581044992607,0.6512862720726167,0.7101339191047571,0.09355860412338189,-0.7071797949064311,1.1045121182737256,0.3491857139326777,-0.24320500643380907,-0.012299983218048538,-1.3040392414165936,0.13865911971806658,-0.42345354158303544,1.0719920365072177,-1.3663077250443705,-0.9547913241668177,0.7382341058655212,-1.0708259039711177,-0.46863010661723087,-1.1927496781933415,-0.7194385954651717,-0.05990138466635493,1.0584444956443768,0.6848421364284307,0.4073963499641071,0.07880209027818039,-0.1205404771015066,0.6554818020109958,0.3409827501492729,0.05718548050035255,-0.03410039016301872,-0.9690506932019196,-0.4183480856733376,0.603330135770449,0.8937152160245576,-0.8844999928137319,-0.10321024622024094,0.40753087067540805,0.3697464002709684,-0.7586230334204109,-0.006166463599490144,0.4039152436919199
7,-2.31475893272408,-1.988121083961401,-2.2152337676016285,0.9114765658551041,-0.006956486702221376,-1.1187106274600063,0.0474630371295931,-0.11756149271580493,-0.22910801241528822,-1.112045340461553,-1.0467224370159474,-0.20407247793514738,-0.26892713223894976,-0.22797026854827662,-0.20614995970077546,0.1352606614495857,0.3779681604924639,-0.8496018461713136,-0.31484724048137824,-0.28515279777728997,-0.5511196909450328,0.8516872398955445,0.08024859743465419,0.27848921204785493,1.087884548102702,0.34503027606008446,0.25832059858143824,0.04133236763565404,0.6418723522952993,0.5410667507484596,-0.07373064564277895,-0.019749836583734304,-1.3642152240170613,-0.21762629914472223,0.4140017863576853,0.6589249736592264,-1.0547636980444393,-0.6120672441925822,0.7119899280728297,-0.9303561961071727,-0.12716766255078177,-0.7997355590120799,-0.13928335287859078,0.15900162492126646,0.7416943674139577,0.3188600818026809,0.5977918442925358,0.09812437351195724,-0.09007402615677744,0.19238807818904768,0.0607729151567829,0.14957174744557578,-0.5743194398112229,-1.1354015871028469,-0.4845895904668449,1.0730929820313537,0.0862145146278227,0.24184230759820538,0.3603268980871807,-0.05893270111874158,-0.3421023197816888,-0.6572288335597819,-0.023981463853251984,0.4038150390985001
8,-2.053564371821283,-2.49149629942877,-2.4515617264093637,1.5963762379172266,-0.07387457434042477,-0.6181465035682508,0.32267290039779273,0.040928187251578124,-0.4497648174903973,-0.11396579030808218,-1.1058074667815885,-0.24892444821723092,0.015539759467796045,0.40534714704986796,-0.5712761806124443,0.511265648114818,0.7137555565877685,-1.1901369556835082,-0.39477694805162356,-0.7697590470243156,-0.480264152248223,1.3170587677960546,0.12342227876296762,0.18566879383683568,1.0636595776962334,0.12062761844924019,0.1863698556249629,-0.278545659238267,1.2455053981124324,0.3573537886168291,-0.45284438252440573,-0.2873325876455167,-1.3113317462733207,-0.10283445571797642,0.07820459460848478,0.8672202071083901,-0.9997414598369219,-0.8426930664257837,0.35739766997079936,-1.9413914163170327,0.16064980988520527,-1.437233661519747,-0.08848928681845201,0.552454783690715,0.8028819972872688,-0.34133362082428753,0.2735028208600413,-0.020552953510077132,-0.040587314987181364,0.4449310914677004,-0.4607798423268604,0.01603651921690774,-0.5287550825411043,-0.7835064763207401,-0.8464100045101601,1.252846509187275,0.5031589309654851,-0.10141715763367604,0.4038752797272873,0.13518286276868158,-1.0871732182844733,-1.1605364066612247,0.16456370975267837,0.6016145009537113
9,-2.414349491091012,-2.226173283736079,-2.1038825999869837,-0.08873583568369248,0.14414003003819625,-1.6111764488553497,0.3771861589914864,0.11397469020807358,0.037818016303501734,-1.4183159373013288,-0.4535712085020095,0.13764270022171732,-0.03358889886991069,-0.016792130026667323,-0.08710128707573918,0.1015604491189918,0.15303817218089322,-0.24184489712911064,-0.5846597157492228,-0.1743641123163982,-0.37949338843368347,0.3587864023028479,-0.08023839529624754,0.26245732863057186,0.5092998824867513,0.3710434827760118,0.12282521009594154,-0.2928510833393751,-0.07500129742813622,0.11586462595802888,0.026090571386092054,0.25724138639714983,-0.5200325847240119,0.06954934653062687,0.057499717005887574,0.5092577828142721,-0.7419061011046941,-0.22075100780461082,0.47248440107409184,-0.26327976286181676,0.3421897831079428,-0.35554458177138343,-0.06834833311023226,-0.10902355819362688,0.1413361381831123,0.02404339101959893,0.38029961772664367,0.05184960394776106,0.16120882026538047,-0.09506403120501294,-0.10457533180556441,-0.11931739321953552,-0.2547708934803902,-0.420478463797323,0.03365479996155166,0.4084603814709694,0.25984317313993777,-0.024862177942649444,0.2612607387637609,-0.0655874882961848,-0.1696631806380043,-0.3369310499745537,0.04716268046835837,0.27526220035551835
10,-2.0728586426948867,-2.1224148642674563,-2.1805388945071567,0.6492475321277702,-0.08259475935302829,-1.4348330573477686,0.05512615424454448,-0.14445787137699745,0.09450560687829329,-1.3651674256644657,-0.5012482641217406,0.06895923357560718,0.05708013235530463,-0.12156495358494403,-0.5257942951089183,0.14868263481972183,0.5814938802155887,-0.891211375794026,-0.5072837762658862,-0.28976574171228775,-0.6266642725222192,1.0311889483877739,0.049919007885842276,0.15242195735282954,1.1389049819125898,0.30041231266914464,0.14718939331054054,-0.1338504103654725,0.5213352364890605,0.5184303235649069,0.31881757090650265,0.1921265319622709,-1.289690596057085,0.040107609809371725,0.6192239855630646,0.5733083211979557,-1.017196782099505,-0.4244335935792668,0.6014649463384023,-1.0822375449771984,0.10617461857504254,-1.0106822884003046,-0.325775326804145,-0.06957114633908576,0.86336733777394,-0.2898137506627817,0.7670518065662548,0.2655564679628652,-0.07900888841192465,0.2720481901089681,-0.05114848806325112,0.03409708184388538,-0.5483922270106563,-0.8236695693117208,-0.39075989969737246,0.44683492430279775,-0.11143957345442909,-0.08926287803456184,0.12796505305312905,-0.14602351896635102,-0.34029146091779894,-0.6252426649743054,-0.1752032882540623,0.31920964968847076
